date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:45	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/robots.txt		(from )
13:14:46	43560/43560	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:02%20GMT	http://websmirno.site/viktor/electron/	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/index.html	(from )
13:14:46	1707/1707	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2010:01:33%20GMT	http://websmirno.site/viktor/electron/images/favicon.png	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/favicon.png	(from http://websmirno.site/viktor/electron/)
13:14:49	43560/43560	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:02%20GMT	http://websmirno.site/viktor/electron/index.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/index-2.html	(from http://websmirno.site/viktor/electron/)
13:14:50	293131/293131	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Jul%202020%2007:30:06%20GMT	http://websmirno.site/viktor/electron/css/style.css	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/css/style.css	(from http://websmirno.site/viktor/electron/)
13:14:51	841/841	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jun%202020%2010:01:49%20GMT	http://websmirno.site/viktor/electron/images/logo.png	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/logo.png	(from http://websmirno.site/viktor/electron/)
13:14:51	20419/20419	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:00%20GMT	http://websmirno.site/viktor/electron/about.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/about.html	(from http://websmirno.site/viktor/electron/)
13:14:52	23318/23318	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:04%20GMT	http://websmirno.site/viktor/electron/testimonials.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/testimonials.html	(from http://websmirno.site/viktor/electron/)
13:14:52	20533/20533	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:03%20GMT	http://websmirno.site/viktor/electron/services.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/services.html	(from http://websmirno.site/viktor/electron/)
13:14:53	19893/19893	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:03%20GMT	http://websmirno.site/viktor/electron/services-item.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/services-item.html	(from http://websmirno.site/viktor/electron/)
13:14:53	23830/23830	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:02%20GMT	http://websmirno.site/viktor/electron/prices.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/prices.html	(from http://websmirno.site/viktor/electron/)
13:14:53	16656/16656	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:01%20GMT	http://websmirno.site/viktor/electron/gallery.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/gallery.html	(from http://websmirno.site/viktor/electron/)
13:14:54	23691/23691	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:00%20GMT	http://websmirno.site/viktor/electron/blog.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/blog.html	(from http://websmirno.site/viktor/electron/)
13:14:54	23349/23349	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:00%20GMT	http://websmirno.site/viktor/electron/blog-item.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/blog-item.html	(from http://websmirno.site/viktor/electron/)
13:14:55	21916/21916	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:04%20GMT	http://websmirno.site/viktor/electron/shop.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/shop.html	(from http://websmirno.site/viktor/electron/)
13:14:55	22353/22353	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:04%20GMT	http://websmirno.site/viktor/electron/shop-item.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/shop-item.html	(from http://websmirno.site/viktor/electron/)
13:14:55	17555/17555	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:01%20GMT	http://websmirno.site/viktor/electron/faq.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/faq.html	(from http://websmirno.site/viktor/electron/)
13:15:08	15574/15574	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202020%2007:30:00%20GMT	http://websmirno.site/viktor/electron/contact.html	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/contact.html	(from http://websmirno.site/viktor/electron/)
13:15:21	6879/6879	---M--	200	added ('OK')	image/gif	date:Thu,%2018%20Jun%202020%2010:01:21%20GMT	http://websmirno.site/viktor/electron/images/bolt.gif	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/bolt.gif	(from http://websmirno.site/viktor/electron/)
13:15:27	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/viktor/electron/all	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/all.11.delayed	(from http://websmirno.site/viktor/electron/)
13:15:28	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/viktor/electron/residences	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/residences.12.delayed	(from http://websmirno.site/viktor/electron/)
13:15:30	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/viktor/electron/industrial_objects	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/industrial_objects	(from http://websmirno.site/viktor/electron/)
13:15:33	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/viktor/electron/offices	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/offices	(from http://websmirno.site/viktor/electron/)
13:15:33	746/746	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:35:01%20GMT	http://websmirno.site/viktor/electron/retail_objects	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/retail_objects	(from http://websmirno.site/viktor/electron/)
13:15:40	41337/41337	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2010:01:39%20GMT	http://websmirno.site/viktor/electron/images/gallery01-01.jpg	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/gallery01-01.jpg	(from http://websmirno.site/viktor/electron/)
13:15:52	27114/27114	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2010:01:39%20GMT	http://websmirno.site/viktor/electron/images/gallery01-02.jpg	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/gallery01-02.jpg	(from http://websmirno.site/viktor/electron/)
13:15:53	16019/16019	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2010:01:40%20GMT	http://websmirno.site/viktor/electron/images/gallery01-04.jpg	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/gallery01-04.jpg	(from http://websmirno.site/viktor/electron/)
13:16:01	20902/20902	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Jun%202020%2010:01:41%20GMT	http://websmirno.site/viktor/electron/images/gallery01-06.jpg	D:/Ashwin/Templates/Electron-Liquidcircuit/websmirno.site/viktor/electron/images/gallery01-06.jpg	(from http://websmirno.site/viktor/electron/)
